"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"fam-996e4db98095","KAWOLA ZAJA","Muebles Style Spain","Hogar | Sillas y sillones","20","20","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Blanco / Crema / Negro / Coñac / Gris / Blanco crema / Marrón / Verde oliva / Marrón arena | Medida: 59.0 x 57.0 x 82.0cm / 59.0 x 57.0 x 80.0cm / 59.0 x 57.0 x 85.0cm | Tejido o material: Plástico,Madera / Microfibra / Piel sintética / Terciopelo / Pana / Plástico / Piel"
"fam-2ac823ec9cca","KAWOLA ZINA","Muebles Style Spain","Hogar | Sillas y sillones","2","2","0","0","configurador","Color (visual) | Medida (buttons)","Color: Azul / Verde | Medida: 58.0 x 56.0 x 87.0cm / 57.0 x 53.0 x 87.0cm"
"ss-es-4fec2b3d8ccf","Muñeca Llorens 35 cm – Las Lindas Muñecas – Elena - 35 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-c3d466b7ae5e","Muñeca Llorens 35 cm – Las Lindas Muñecas – Sara - 35 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-0a8b1f6118f8","Muñeca Llorens que llora 33 cm – Los Llorones – Roberta Llorona - 33 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","4","4","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4"
"ss-es-f3c6b99822cf","Muñeca Llorens que llora 38 cm – Los Llorones – Joelle Llorona - 38 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","3","3","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
"ss-es-4d2005bac627","Muñeca Llorens que llora 42 cm – Los Llorones – Alexandra Llorona - 42 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","3","3","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
"ss-es-b2b4f32df2d8","Muñeca Llorens que llora 42 cm – Los Llorones – Carla Llorona - 42 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-677574c73ae8","Muñeca Llorens que llora 42 cm – Los Llorones – Julia Llorona - 42 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-dee82aa24542","Muñeco Llorens 32 cm – Little Baby – Little Girl - 32 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-2047f952232a","Muñeco Llorens articulado 35 cm – Recién Nacidos muy suaves – Bimba con cojín - 35 cm / Cuerpo de vinilo articulado","Muñecas Llorens (ES)","Juguetes","3","3","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
"ss-es-80486ea5bccd","Muñeco Llorens articulado 35 cm – Recién Nacidos muy suaves – Bimbo con cojín - 35 cm / Cuerpo de vinilo articulado","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-9cd97ea81c9a","Muñeco Llorens articulado 40 cm – Recién Nacidos muy suaves – Nico con cojín azul y osito - 40 cm / Cuerpo de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"ss-es-8a356a5073cd","Muñeco Llorens que ríe 42 cm - Recién Nacidos con sonidos de bebé – Mimi sonrisas con cojín camita - 42 cm / Cuerpo de tela con extremidades de vinilo","Muñecas Llorens (ES)","Juguetes","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"outin-64a5aaa3ae66","Customized Nano Portable Espresso Machine","OutIn","Hogar y cocina | Aventura y viajes","5","5","0","5","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 / Diseño 5"
"outin-bfacab7ad657","EVA Protective Case Plus","OutIn","Hogar y cocina | Aventura y viajes","2","2","0","0","configurador","Color (visual)","Color: Maple Brown / Sand Beige"
"outin-a70dafda8002","Flex Messenger","OutIn","Hogar y cocina | Aventura y viajes","2","2","0","0","configurador","Color (visual)","Color: Amber Brown / Cypress Green"
"outin-cb0f6e39ee39","Nano Portable Espresso Machine","OutIn","Hogar y cocina | Aventura y viajes","5","5","0","5","configurador","Color (visual) | Color o diseño (visual)","Color: Gris / Rojo | Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
